age_group,year,sex,edu,l_active,l_not_active
52,2069,F,L,0.6163786908461031,0.3836213091538969
57,2069,F,L,0.46021538289992375,0.5397846171000762
62,2069,F,L,0.20051835552430122,0.7994816444756988
67,2069,F,L,0.06787131321686288,0.9321286867831371
72,2069,F,L,0.048299532797948505,0.9517004672020515
77,2069,F,L,0.01,0.99
82,2069,F,L,0.01,0.99
87,2069,F,L,0.01,0.99
17,2069,F,M,0.25907546018409033,0.7409245398159097
22,2069,F,M,0.566301976507882,0.43369802349211795
27,2069,F,M,0.7418064835784317,0.2581935164215683
32,2069,F,M,0.7850737411199545,0.21492625888004546
37,2069,F,M,0.8015008504877061,0.19849914951229386
42,2069,F,M,0.807337441660388,0.192662558339612
47,2069,F,M,0.794076327579127,0.20592367242087295
52,2069,F,M,0.7436882769281546,0.25631172307184535
57,2069,F,M,0.6062428626534395,0.3937571373465605
62,2069,F,M,0.31173170445946613,0.6882682955405339
67,2069,F,M,0.11620847061440516,0.8837915293855948
72,2069,F,M,0.08395331104272617,0.9160466889572738
77,2069,F,M,0.01,0.99
82,2069,F,M,0.01,0.99
87,2069,F,M,0.01,0.99
17,2069,M,H,0.8255187296376213,0.1744812703623787
22,2069,M,H,0.8255187296376213,0.1744812703623787
27,2069,M,H,0.9123597987464461,0.08764020125355387
32,2069,M,H,0.9297527966417436,0.0702472033582564
37,2069,M,H,0.93602302347352,0.06397697652648004
42,2069,M,H,0.9382091177679882,0.06179088223201179
47,2069,M,H,0.9332107916640356,0.06678920833596436
52,2069,M,H,0.9131440917505584,0.08685590824944156
57,2069,M,H,0.8479950783166814,0.15200492168331858
62,2069,M,H,0.6213729424002641,0.3786270575997359
67,2069,M,H,0.32269373090847114,0.6773062690915288
72,2069,M,H,0.24929217405296683,0.7507078259470332
77,2069,M,H,0.01,0.99
82,2069,M,H,0.01,0.99
87,2069,M,H,0.01,0.99
17,2069,M,L,0.28262712704863685,0.7173728729513631
22,2069,M,L,0.5953413552791671,0.4046586447208329
27,2069,M,L,0.7639919172740891,0.2360080827259109
32,2069,M,L,0.8045211053197784,0.19547889468022162
37,2069,M,L,0.8198029948903354,0.18019700510966463
42,2069,M,L,0.8252187897570787,0.17478121024292126
47,2069,M,L,0.8129032335063612,0.18709676649363882
52,2069,M,L,0.7657630738605762,0.23423692613942382
57,2069,M,L,0.6343347399189438,0.36566526008105615
62,2069,M,L,0.3378872247224317,0.6621127752775683
67,2069,M,L,0.1290344106145403,0.8709655893854598
72,2069,M,L,0.09359626156580249,0.9064037384341975
77,2069,M,L,0.01,0.99
82,2069,M,L,0.01,0.99
87,2069,M,L,0.01,0.99
17,2069,M,M,0.4157013020026821,0.5842986979973179
22,2069,M,M,0.7265350049584248,0.2734649950415752
27,2069,M,M,0.8539237437328493,0.1460762562671507
32,2069,M,M,0.8814064462717691,0.11859355372823088
37,2069,M,M,0.8914883944037266,0.10851160559627337
42,2069,M,M,0.8950255744312805,0.1049744255687195
47,2069,M,M,0.886954980022003,0.11304501997799699
52,2069,M,M,0.8551479555099878,0.1448520444900122
57,2069,M,M,0.7580247196072444,0.24197528039275562
62,2069,M,M,0.4795859144123331,0.5204140855876669
67,2069,M,M,0.2110677296048312,0.7889322703951688
72,2069,M,M,0.1571653391370225,0.8428346608629775
77,2069,M,M,0.01,0.99
82,2069,M,M,0.01,0.99
87,2069,M,M,0.01,0.99
17,2070,F,H,0.7001572576177784,0.29984274238222164
22,2070,F,H,0.7001572576177784,0.29984274238222164
27,2070,F,H,0.837078162163737,0.16292183783626302
32,2070,F,H,0.8672374375519064,0.1327625624480936
37,2070,F,H,0.8783576917974742,0.12164230820252575
42,2070,F,H,0.8822663699123658,0.11773363008763416
47,2070,F,H,0.8733536326384839,0.12664636736151613
52,2070,F,H,0.8384168365471514,0.16158316345284862
57,2070,F,H,0.7335705316692916,0.26642946833070835
62,2070,F,H,0.44750220396940765,0.5524977960305923
67,2070,F,H,0.19037619378003787,0.8096238062199621
72,2070,F,H,0.1408148344288851,0.8591851655711149
77,2070,F,H,0.01,0.99
82,2070,F,H,0.01,0.99
87,2070,F,H,0.01,0.99
17,2070,F,L,0.16278984774525132,0.8372101522547487
22,2070,F,L,0.42066194367493265,0.5793380563250674
27,2070,F,L,0.6150389468550068,0.3849610531449932
32,2070,F,L,0.670102138719904,0.329897861280096
37,2070,F,L,0.6918677189805142,0.30813228101948575
42,2070,F,L,0.6997202044753048,0.3002797955246952
47,2070,F,L,0.6819696629799007,0.3180303370200993
52,2070,F,L,0.6173680924396818,0.3826319075603182
57,2070,F,L,0.46125551326806685,0.5387444867319331
62,2070,F,L,0.20119031218637273,0.7988096878136273
67,2070,F,L,0.0681366407348983,0.9318633592651017
72,2070,F,L,0.04849232924674253,0.9515076707532575
77,2070,F,L,0.01,0.99
82,2070,F,L,0.01,0.99
87,2070,F,L,0.01,0.99
17,2070,F,M,0.2598798606375183,0.7401201393624817
22,2070,F,M,0.5673298716094572,0.43267012839054275
27,2070,F,M,0.7426074795906852,0.2573925204093148
32,2070,F,M,0.7857792715497878,0.21422072845021223
37,2070,F,M,0.8021660449536526,0.19783395504634738
42,2070,F,M,0.8079877627057167,0.1920122372942833
47,2070,F,M,0.7947600313819283,0.2052399686180717
52,2070,F,M,0.7444854458970004,0.2555145541029996
57,2070,F,M,0.6072417482788457,0.3927582517211543
62,2070,F,M,0.31263061188440716,0.6873693881155929
67,2070,F,M,0.11663911595885892,0.8833608840411411
72,2070,F,M,0.08427582336762911,0.9157241766323709
77,2070,F,M,0.01,0.99
82,2070,F,M,0.01,0.99
87,2070,F,M,0.01,0.99
17,2070,M,H,0.8261208982654686,0.17387910173453136
22,2070,M,H,0.8261208982654686,0.17387910173453136
27,2070,M,H,0.9126939585788455,0.0873060414211545
32,2070,M,H,0.9300257256539043,0.06997427434609571
37,2070,M,H,0.9362732607674302,0.06372673923256977
42,2070,M,H,0.9384513666991523,0.0615486333008477
47,2070,M,H,0.9334712468105227,0.06652875318947726
52,2070,M,H,0.9134755447806119,0.08652445521938812
57,2070,M,H,0.8485339092933407,0.15146609070665928
62,2070,M,H,0.6223573550263259,0.37764264497367406
67,2070,M,H,0.32360938598446304,0.6763906140155369
72,2070,M,H,0.2500764509882684,0.7499235490117315
77,2070,M,H,0.01,0.99
82,2070,M,H,0.01,0.99
87,2070,M,H,0.01,0.99
17,2070,M,L,0.28347667516808805,0.716523324831912
22,2070,M,L,0.5963494825706108,0.4036505174293892
27,2070,M,L,0.7647459144943481,0.23525408550565186
32,2070,M,L,0.8051786387252625,0.19482136127473748
37,2070,M,L,0.8204205985018208,0.1795794014981792
42,2070,M,L,0.8258217751265335,0.17417822487346646
47,2070,M,L,0.8135391065558552,0.18646089344414485
52,2070,M,L,0.7665131419128888,0.23348685808711123
57,2070,M,L,0.6353052316433678,0.36469476835663217
62,2070,M,L,0.3388244249381744,0.6611755750618256
67,2070,M,L,0.12950562150576928,0.8704943784942307
72,2070,M,L,0.09395201860835586,0.9060479813916441
77,2070,M,L,0.01,0.99
82,2070,M,L,0.01,0.99
87,2070,M,L,0.01,0.99
17,2070,M,M,0.4167184950828089,0.5832815049171911
22,2070,M,M,0.7273659655363199,0.27263403446368006
